event_id,event_date,ticker,firm_name,direction,doc_type,alpha,beta,CAR,n_est,AR_day_-5,AR_day_-4,AR_day_-3,AR_day_-2,AR_day_-1,AR_day_+0,AR_day_+1,AR_day_+2,AR_day_+3,AR_day_+4,AR_day_+5
L1_noticeofaction_20180620,2018-06-20,TSM,TSMC,tightening,noticeofaction,-0.000399,1.1064,-0.022399,101,0.001028,-0.013859,0.003856,-0.008621,-0.013188,0.019538,-0.011615,0.01163,0.008379,-0.003409,-0.016137
L1_noticeofaction_20180620,2018-06-20,AAPL,Apple,tightening,noticeofaction,0.000885,1.0659,-0.01875,101,-0.004812,-0.002995,-0.010074,0.000851,-0.012757,0.001652,0.000302,-0.005782,-0.001128,0.009171,0.006821
L1_noticeofaction_20180620,2018-06-20,NVDA,NVIDIA,tightening,noticeofaction,0.002152,1.8128,-0.071847,101,0.004461,0.010554,-0.00649,0.001061,-0.013418,0.002969,-0.010473,-0.029487,-0.024413,0.005853,-0.012464
L1_noticeofaction_20180620,2018-06-20,AMD,AMD,tightening,noticeofaction,0.001879,1.453,-0.02657,101,0.033624,-0.00976,0.005137,0.048334,-0.02058,-0.014553,-0.045322,0.005,-0.025608,0.020728,-0.02357
L1_noticeofaction_20180620,2018-06-20,005930.KS,Samsung,tightening,noticeofaction,0.000336,0.2791,-0.023696,101,0.000788,-0.025318,-0.011463,-0.021779,0.009371,-0.000814,0.002499,0.003395,-0.009203,0.006551,0.022279
L1_noticeofaction_20180620,2018-06-20,GOOG,Google,tightening,noticeofaction,1.5e-05,1.4346,0.014503,101,0.001785,0.011711,0.001566,0.021434,0.001155,-0.000947,-0.001323,-0.004569,-0.006869,-0.008823,-0.000618
L2_noticeofaction_20180816,2018-08-16,TSM,TSMC,tightening,noticeofaction,-0.000773,1.1207,-0.022041,101,-0.000709,-0.010614,-0.002536,-0.001474,-0.001952,-0.009091,-0.009879,-0.002696,0.018156,0.001464,-0.002711
L2_noticeofaction_20180816,2018-08-16,AAPL,Apple,tightening,noticeofaction,0.000482,1.0589,0.037739,101,0.008909,0.004071,0.010216,-0.003034,0.009903,0.005782,0.015969,-0.012797,-0.004622,-1.4e-05,0.003355
L2_noticeofaction_20180816,2018-08-16,NVDA,NVIDIA,tightening,noticeofaction,-4.5e-05,1.9353,0.0355,101,-0.004749,0.007301,0.013018,0.008413,0.005769,-0.021611,-0.055407,0.007682,0.018153,0.038318,0.018614
L2_noticeofaction_20180816,2018-08-16,AMD,AMD,tightening,noticeofaction,0.002943,1.7258,0.101738,101,-0.02497,0.00724,0.039123,0.000729,-0.005807,-0.035392,0.014084,0.003489,0.014508,0.022254,0.066483
L2_noticeofaction_20180816,2018-08-16,005930.KS,Samsung,tightening,noticeofaction,0.000195,0.1664,-0.013602,101,0.002182,-0.030994,-0.007238,0.000961,0.00107,-0.021446,-0.004138,-0.006268,0.021125,0.028889,0.002256
L2_noticeofaction_20180816,2018-08-16,GOOG,Google,tightening,noticeofaction,0.000288,1.5128,-0.035416,101,0.004695,0.001275,0.003671,-0.004212,-0.011104,-0.018765,-0.009899,0.00171,-0.008509,0.005066,0.000656
L3_noticeofaction_20180921,2018-09-21,TSM,TSMC,tightening,noticeofaction,-0.000842,1.0427,0.023228,101,0.02312,-0.007987,-0.009327,0.010095,-0.003926,-0.001264,0.023346,-0.013836,0.006535,0.009029,-0.012556
L3_noticeofaction_20180921,2018-09-21,AAPL,Apple,tightening,noticeofaction,0.001577,1.0295,-0.022977,101,-0.013212,-0.022469,-0.005452,-0.002272,-0.002047,-0.011969,0.016423,0.006107,-0.006157,0.01613,0.001942
L3_noticeofaction_20180921,2018-09-21,NVDA,NVIDIA,tightening,noticeofaction,0.000751,1.8997,0.022159,101,0.017484,0.000786,-0.021574,0.00041,-0.036603,-0.010679,0.014468,0.011928,-5.4e-05,-0.004202,0.050197
L3_noticeofaction_20180921,2018-09-21,AMD,AMD,tightening,noticeofaction,0.007514,2.1165,-0.07075,101,0.065394,-0.004588,-0.034295,-0.032716,-0.025069,-0.011865,0.051185,-0.005978,-0.012219,-0.000936,-0.059662
L3_noticeofaction_20180921,2018-09-21,005930.KS,Samsung,tightening,noticeofaction,-0.00036,0.0094,0.06612,101,0.041221,-0.014855,0.008062,0.014634,0.024123,0.003539,0.000393,0.000373,0.000391,0.009984,-0.021745
L3_noticeofaction_20180921,2018-09-21,GOOG,Google,tightening,noticeofaction,0.000587,1.5474,0.00406,101,-0.003396,-0.006024,-0.004423,0.005973,0.000755,-0.017525,0.011096,0.011046,0.000991,0.007123,-0.001556
L1_exclusions_20181228,2018-12-28,TSM,TSMC,relief,exclusions,0.0005,1.19,-0.053939,101,0.008608,0.019262,0.020002,-0.01786,-0.010145,0.010765,-0.016798,-0.012575,-0.030186,-0.023605,-0.001407
L1_exclusions_20181228,2018-12-28,AAPL,Apple,relief,exclusions,-6.4e-05,1.4848,-0.102588,101,-0.001753,-0.008262,0.014447,-0.003154,-0.01914,0.002419,-0.002882,-0.000678,-0.062785,-0.00823,-0.012572
L1_exclusions_20181228,2018-12-28,NVDA,NVIDIA,relief,exclusions,-0.003572,2.3245,0.036133,101,0.015614,0.010495,0.047375,-0.064335,-0.030832,0.025364,-0.017291,0.020997,0.000701,-0.012173,0.040217
L1_exclusions_20181228,2018-12-28,AMD,AMD,relief,exclusions,0.003979,1.6431,0.06823,101,0.009822,-0.02645,0.02403,-0.010389,-0.040953,0.016929,0.017982,0.013981,-0.057832,0.053975,0.067134
L1_exclusions_20181228,2018-12-28,005930.KS,Samsung,relief,exclusions,-0.000433,0.1839,0.002686,101,-0.008176,0.004218,0.009299,-0.020283,0.005544,0.012426,-0.001128,0.001492,-0.024693,-0.009869,0.033857
L1_exclusions_20181228,2018-12-28,GOOG,Google,relief,exclusions,-0.000299,1.4865,0.021721,101,0.010451,0.001313,0.037213,-0.008642,-0.008177,-0.004369,-0.013742,0.008302,0.008617,0.003045,-0.012288
L1_exclusions_20190325,2019-03-25,TSM,TSMC,relief,exclusions,-0.00049,1.0433,0.031956,101,0.001667,-0.001633,0.005825,0.01903,0.005421,-0.01125,0.00502,0.000385,0.000228,0.008833,-0.001569
L1_exclusions_20190325,2019-03-25,AAPL,Apple,relief,exclusions,-0.001887,1.5497,0.024152,101,0.006352,-0.005835,0.015188,0.021899,0.010583,-0.008904,-0.019576,0.018078,-0.00235,-0.002032,-0.00925
L1_exclusions_20190325,2019-03-25,NVDA,NVIDIA,relief,exclusions,-0.004076,2.1242,0.084981,101,-0.00886,0.044365,0.002875,0.035725,0.009371,-0.015099,0.0066,0.01185,0.000701,0.002803,-0.00535
L1_exclusions_20190325,2019-03-25,AMD,AMD,relief,exclusions,0.000827,2.3483,0.089838,101,-0.011248,0.117759,-0.005451,0.058902,-0.010769,-0.014026,-0.028476,-0.021062,-0.002427,0.001714,0.004921
L1_exclusions_20190325,2019-03-25,005930.KS,Samsung,relief,exclusions,0.00066,0.2248,0.017346,101,-0.012805,0.003946,0.003419,0.037763,0.018873,-0.023028,-0.007769,0.002594,-0.004712,-0.006633,0.005698
L1_exclusions_20190325,2019-03-25,GOOG,Google,relief,exclusions,-0.000111,1.3205,-0.010817,101,-0.004952,0.012603,0.024953,-0.008035,0.004023,-0.00915,-0.016398,-0.003548,-0.008491,-0.004657,0.002835
L1_exclusions_20190418,2019-04-18,TSM,TSMC,relief,exclusions,0.000522,0.9808,0.031122,101,-0.006931,0.004398,0.0008,0.008366,0.033794,0.020683,-0.000522,-0.007021,-0.003213,0.001408,-0.02064
L1_exclusions_20190418,2019-04-18,AAPL,Apple,relief,exclusions,-0.001878,1.682,0.021921,101,-0.006511,-0.009642,0.004747,0.001121,0.025175,0.002815,0.001878,0.003462,0.00143,0.004022,-0.006577
L1_exclusions_20190418,2019-04-18,NVDA,NVIDIA,relief,exclusions,-0.000927,2.0672,-0.043295,101,-0.002067,-0.020724,-0.025718,0.018878,0.000739,-0.007624,0.000927,0.010483,-0.005677,0.00808,-0.020594
